"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'4210201302537";"449170061";"858837529";"4210201302537";"Электрическая зубная щетка с инновационной магнитной iO технологией Oral-B iO 8 Special Edition White Alabaster, 6 режимов, с датчиком давления";"'55";"Oral-B";"Готов к продаже";"2";"'0.00";"Показывается";;"2023-02-09 09:42:38";"Электронные товары для красоты и здоровья";"'4.54";"'1.2";"0";"0";"0";"0";"0";"0";"24310.00";"52990.00";;;;"20%"
"'Б0059851";"450975577";"862060808";"4210201430865";"Мужская электробритва Braun Series 5 51-R1000s, сухое/влажное бритье, аккумулятор Li-Ion, технология MicroComb";"'82.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-02-13 08:01:21";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"0";"0";"0";"1";"1";"0";"13540.00";"23990.00";;;;"20%"
"'Б0058419";"450978086";"862063306";"4210201433705";"Мужская электробритва Braun Series 7 71-S1000s Silver Wet&Dry";"'90";"Braun";"Продается";"72";"'4.70";"Показывается";;"2023-02-13 08:04:39";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"4";"0";"0";"0";"0";"0";"19900.00";"27250.00";;;;"20%"
"'61-B1500s";"453582006";"866830834";"4210201433026";"Мужская электробритва Braun Series 6 61-B1500s Blue / сухое и влажное бритьё / насадка-триммер";"'37.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-02-17 09:18:02";"Электронные товары для красоты и здоровья";"'2.55";"'0.5";"5";"0";"0";"2";"2";"0";"25360.00";"34730.00";;;;"20%"
"'61-N1000s";"453589292";"866842180";"4210201432920";"Мужская электробритва Braun Series 6 61-N1000s / сухое и влажное бритьё";"'90";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-02-17 09:26:42";"Электронные товары для красоты и здоровья";"'2.55";"'0.5";"6";"0";"0";"0";"0";"0";"14610.00";"20570.00";;;;"20%"
"'61-R1200s";"453593852";"866849891";"4210201433002";"Мужская электробритва Braun Series 6 61-R1200s Red / сухое и влажное бритьё / дорожный футляр";"'90";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-02-17 09:32:00";"Электронные товары для красоты и здоровья";"'2.45";"'0.6";"3";"0";"0";"0";"0";"0";"15910.00";"21200.00";;;;"20%"
"'71-S7200cc";"453599804";"866860229";"4210201433682";"Мужская электробритва Braun Series 7 71-S7200cc Black/Silver сухое и влажное бритьё";"'90";"Braun";"Продается";"72";"'4.70";"Показывается";;"2023-02-17 09:40:40";"Электронные товары для красоты и здоровья";"'2.45";"'0.6";"1";"0";"0";"0";"0";"0";"36170.00";"53980.00";;;;"20%"
"'9467cc";"453606746";"866875017";"4210201394174";"Мужская электробритва Braun Series 9 Pro 9467cc со станцией очистки и подзарядки SmartCare / сухое и влажное бритьё / дорожный футляр";"'45";"Braun";"Продается";"23";"'4.40";"Показывается";;"2023-02-17 09:50:50";"Электронные товары для красоты и здоровья";"'2.55";"'0.9";"1";"0";"0";"0";"0";"0";"62990.00";"92620.00";;;;"20%"
"'51-B4650cs";"453615868";"866888647";"4210201432869";"Мужская электробритва Braun Series 5 51-B4650cs Blue / сухое и влажное бритьё / насадка-триммер и грумер";"'87.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2023-02-17 09:56:08";"Электронные товары для красоты и здоровья";"'2.45";"'0.5";"3";"0";"0";"0";"0";"0";"21530.00";"30310.00";;;;"20%"
"'80368953";"466246731";"889552787";"4210201432265";"Набор электрических зубных щеток Oral-B Vitality Pro Duo Cross Action Protect X Clean, сиреневая/черная";"'100";"Oral-B";"Продается";"152";"'5.00";"Показывается";;"2023-03-10 13:13:19";"Электронные товары для красоты и здоровья";"'3.96";"'0.8";"1";"0";"0";"32";"32";"0";"7235.00";"10180.00";;;;"20%"
