"Артикул";"Ozon Product ID";"SKU";"Barcode";"Название товара";"Контент-рейтинг";"Бренд";"Статус товара";"Отзывы";"Рейтинг";"Видимость на Ozon";"Причины скрытия";"Дата создания";"Категория комиссии";"Объем товара, л";"Объемный вес, кг";"Доступно к продаже по схеме FBO, шт.";"Вывезти и нанести КИЗ (кроме Твери), шт";"Зарезервировано, шт";"Доступно к продаже по схеме FBS, шт.";"Доступно к продаже по схеме realFBS, шт.";"Зарезервировано на моих складах, шт";"Текущая цена с учетом скидки, ₽";"Цена до скидки (перечеркнутая цена), ₽";"Цена Premium, ₽";"Рыночная цена, ₽";"Актуальная ссылка на рыночную цену";"Размер НДС, %"
"'4210201439264";"1114113933";"1630805907";"4210201439264";"Насадки для электрической зубной щетки Oral-B iO Radiant White, 3 шт / мягкая, отбеливает, полирует";"'90";"Oral-B";"Продается";"87";"'5.00";"Показывается";;"2024-07-17 14:25:54";"Аксессуары для электроники";"'0.35";"'0.1";"1";"0";"0";"7";"7";"0";"5500.00";"7420.00";;;;"20%"
"'4210201447870";"1116670836";"1633099488";"4210201447870";"Триммер электрический Braun BT3421 / 20 установок длины / Насадка-гребень 1-10 мм";"'70";"Braun";"Продается";"225";"'4.90";"Показывается";;"2024-07-19 11:53:02";"Электронные товары для красоты и здоровья";"'2.35";"'0.5";"1";"0";"0";"0";"0";"0";"4110.00";"5790.00";;;;"20%"
"'Б0064197";"1123738352";"1639430179";"8001090915221";"Электрическая зубная щетка Oral-B Pro Series 1 Duo/D305.523.3H черная+бирюзовая 3 режима тип 3791";"'92.5";"Oral-B";"Продается";"54";"'4.30";"Показывается";;"2024-07-26 07:53:44";"Электронные товары для красоты и здоровья";"'4.25";"'0.9";"12";"0";"0";"15";"15";"0";"8035.00";"11150.00";;;;"20%"
"'4673765486264";"1165791221";"1676035643";"4673765486264";"Насадка для электрической зубной щетки Oral-B Cross Action EB50RB-1 1 шт";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-08-30 13:46:25";"Аксессуары для электроники";"'1.53";"'0.3";"0";"0";"0";"5";"0";"0";"808.00";"0.00";;;;"20%"
"'4210201432425";"1178580068";"1687176012";"4210201432425";"Электрическая зубная щетка Oral-B Vitality Pro D103.423.3H Black+Дополнительная насадка Sensitive Clean";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-09-09 09:28:35";"Электронные товары для красоты и здоровья";"'2.02";"'0.4";"6";"0";"0";"8";"8";"0";"4735.00";"6570.00";;;;"20%"
"'4210201432449";"1178674399";"1687258903";"4210201432449";"Электрическая зубная щетка Oral-B Vitality Pro D103.423.3H Black+Дополнительная насадка Sensitive Clean";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-09-09 10:12:59";"Электронные товары для красоты и здоровья";"'2.02";"'0.4";"6";"0";"0";"2";"2";"0";"4735.00";"7510.00";;;;"20%"
"'8700216618380";"1178796120";"1687373245";"8700216618380";"Электрическая зубная щетка Oral-B Vitality Pro + Бритва Gillette Venus Swirl";"'100";"Oral-B";"Продается";"1";"'1.00";"Показывается";;"2024-09-09 10:50:48";"Электронные товары для красоты и здоровья";"'3.86";"'0.8";"6";"0";"0";"0";"0";"0";"4720.00";"6930.00";;;;"20%"
"'8700216618397";"1178807462";"1687384240";"8700216618397";"Электрическая зубная щетка Oral-B Vitality Pro + Бритва Gillette Fusion5 ProGlide Flexball";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-09-09 11:00:57";"Электронные товары для красоты и здоровья";"'3.86";"'0.8";"11";"0";"0";"0";"0";"0";"4820.00";"6880.00";;;;"20%"
"'8700216586214";"1178820940";"1687397668";"8700216586214";"Электрическая зубная щётка Oral-B Pro Series 1 + насадки CrossAction CleanMaximiser - 2 шт";"'92.5";"Oral-B";"Продается";"54";"'4.30";"Показывается";;"2024-09-09 11:16:31";"Электронные товары для красоты и здоровья";"'1.93";"'0.5";"3";"0";"0";"0";"0";"0";"5605.00";"7560.00";;;;"20%"
"'81703395";"1182088100";"1690214879";"2000000192178";"Резервуар для воды ирригатора Oral-B 3720 голубой";"'57.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-09-11 12:52:54";"Профессиональный уход за полостью рта";"'0.56";"'0.1";"0";"0";"0";"2";"0";"0";"2235.00";"3090.00";;;;"20%"
"'4210201421900";"1188555666";"1695675894";"4210201421900";"Электрическая зубная щетка Oral-B iO 9 Luxe Edition Aqua Marine, 7 режимов, взрослая, с датчиком давления";"'100";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2024-09-17 09:40:23";"Электронные товары для красоты и здоровья";"'4.99";"'1.0";"0";"0";"0";"0";"0";"0";"43420.00";"66790.00";;;;"20%"
"'Б0067273";"1197386320";"1703192789";"7500435218108";"Мужская электробритва Braun Series 9 Pro 9519s";"'100";"Braun";"Продается";"23";"'4.40";"Показывается";;"2024-09-24 08:29:30";"Электронные товары для красоты и здоровья";"'2.45";"'1.0";"1";"0";"0";"0";"0";"0";"50890.00";"77100.00";;;;"20%"
"'Б0067288";"1197432371";"1703232054";"7500435218009";"Мужская электробритва Braun Series 8 8513s Silver";"'85";"Braun";"Продается";"23";"'4.40";"Показывается";;"2024-09-24 08:48:43";"Электронные товары для красоты и здоровья";"'2.45";"'0.6";"4";"0";"0";"0";"0";"0";"38500.00";"50650.00";;;;"20%"
"'4210201433088";"1209868343";"1713959673";"4210201433088";"Мужская электробритва Braun Series 6 61-N4820CS / сухое и влажное бритьё / дорожный футляр";"'87.5";"Braun";"Продается";"383";"'4.90";"Показывается";;"2024-10-04 09:56:48";"Электронные товары для красоты и здоровья";"'2.45";"'0.6";"2";"0";"0";"0";"0";"0";"23850.00";"34060.00";;;;"20%"
"'4210201433156";"1209868347";"1713958988";"4210201433156";"Мужская электробритва Braun Series 6 61-B7200CC / сухое и влажное бритьё / дорожный футляр";"'80";"Braun";"Готов к продаже";"383";"'4.90";"Показывается";;"2024-10-04 09:56:48";"Электронные товары для красоты и здоровья";"'6.40";"'1.3";"0";"0";"0";"0";"0";"0";"32320.00";"46160.00";;;;"20%"
"'81719569";"1268451666";"1764883515";"2000000205229";"Футляр для зубной щетки Oral-B D501/D505/D601 дорожный, белый";"'85";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2024-11-22 08:35:30";"Аксессуары для электроники";"'0.48";"'0.1";"0";"0";"0";"0";"0";"0";"2715.00";"5990.00";;;;"20%"
"'iO_Ultimate_1wh";"1290020976";"1783200633";"4673765486516";"Насадка для электрической зубной щетки Oral-B iO Ultimate Clean White, 1 шт, круглая, витые щетинки, угол наклона 16 градусов";"'90";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2024-12-11 08:22:16";"Аксессуары для электроники";"'0.32";"'0.1";"6";"0";"0";"26";"0";"0";"2000.00";"2810.00";;;;"20%"
"'EB10S_1Spiderman";"1295469133";"1787841261";"4673765486585";"Насадка для электрической зубной щетки Oral-B Kids EB10S 4K Spiderman";"'80";"Oral-B";"Продается";"141";"'4.80";"Показывается";;"2024-12-16 15:07:53";"Аксессуары для электроники";"'0.32";"'0.1";"2";"0";"0";"0";"0";"0";"1260.00";"1760.00";;;;"20%"
"'Б0068958";"1303744346";"1794505294";"8700216297172";"Детская электрическая зубная щетка Oral-B Vitality Kids Lion King ""Король Лев"" D103.413.2KX";"'80";"Oral-B";"Продается";"59";"'4.80";"Показывается";;"2024-12-20 09:09:59";"Электронные товары для красоты и здоровья";"'4.25";"'0.9";"8";"0";"0";"16";"16";"0";"4880.00";"6990.00";;;;"20%"
"'8700216518031";"1311264761";"1800399358";"8700216518031";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 Cross Action Protect X Clean White 3 режима 32 мин работы от аккумулятора";"'100";"Oral-B";"Продается";"1";"'5.00";"Показывается";;"2024-12-24 13:22:37";"Электронные товары для красоты и здоровья";"'2.48";"'0.5";"8";"0";"0";"40";"40";"0";"4130.00";"5890.00";;;;"20%"
"'Б0069142";"1315104063";"1803386943";"7500435218245";"Мужская электробритва Braun Series 9 Pro+ 9590cc со станцией очистки";"'87.5";"Braun";"Продается";"23";"'4.40";"Показывается";;"2024-12-26 09:02:08";"Электронные товары для красоты и здоровья";"'6.40";"'1.3";"3";"0";"0";"0";"0";"0";"76940.00";"98630.00";;;;"20%"
"'Б0046535";"1348738016";"1828978185";"4210201278429";"Триммер для бороды Braun BT5960TS с 3 насадками и чехлом + бритва";"'80";"Braun";"Продается";"225";"'4.90";"Показывается";;"2025-01-13 07:37:10";"Электронные товары для красоты и здоровья";"'2.80";"'0.6";"6";"0";"0";"53";"53";"0";"7680.00";"10370.00";;;;"20%"
"'7500435218221";"1378444710";"1851873024";"7500435218221";"Электробритва мужская Braun Series 9 Pro+ 9565cc с зарядной станцией и тканевым футляром";"'87.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-01-30 12:41:19";"Электронные товары для красоты и здоровья";"'6.40";"'1.3";"7";"0";"0";"16";"16";"0";"58490.00";"87290.00";;;;"20%"
"'8700216809375";"1388324747";"1859902454";"8700216809375";"Электрическая зубная щетка Vitality Pro + зубная паста Pro-Kids Мягкий Вкус 50мл+Насадка Sens Clean EB60";"'100";"Oral-B";"Готов к продаже";"1";"'5.00";"Показывается";;"2025-02-06 11:13:30";"Электронные товары для красоты и здоровья";"'3.52";"'0.7";"0";"0";"0";"0";"0";"0";"5640.00";"8800.00";;;;"20%"
"'8700216378581";"1388384578";"1859955744";"8700216378581";"Насадки для электрической зубной щетки Oral-B Pro 3D White CleanMaximiser 2 шт для отбеливания";"'90";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-02-06 12:03:36";"Аксессуары для электроники";"'0.26";"'0.1";"6";"0";"0";"32";"0";"0";"2015.00";"2750.00";;;;"20%"
"'8700216068895";"1388384579";"1859955633";"8700216068895";"Насадка для электрической зубной щетки Oral-B Cross Action 4 шт";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-02-06 12:03:36";"Аксессуары для электроники";"'0.26";"'0.1";"6";"0";"0";"16";"16";"0";"3235.00";"4890.00";;;;"20%"
"'4210201447931";"1402834015";"1870990376";"4210201447931";"Триммер электрический Braun BT3440 40 настроек длины регулируемые гребни мини сетчатая бритва";"'87.5";"Braun";"Продается";"225";"'4.90";"Показывается";;"2025-02-13 08:08:46";"Электронные товары для красоты и здоровья";"'2.27";"'0.5";"2";"0";"0";"1";"1";"0";"8215.00";"11730.00";;;;"20%"
"'Б0069195";"1405932133";"1873449762";"7500435218115";"Электробритва Braun Series 8 8510s с зарядной станцией и футляром";"'100";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-02-14 13:03:56";"Электронные товары для красоты и здоровья";"'2.45";"'0.6";"5";"0";"0";"0";"0";"0";"38770.00";"53100.00";;;;"0%"
"'Б0069190";"1424159232";"1887440191";"7500435225304";"Эпилятор женский электрический Braun Silk-epil 9 Flex SES 9-041 Gold 3D 360 тип 5380";"'85";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-02-20 11:59:58";"Косметическая техника";"'2.52";"'0.5";"7";"0";"0";"11";"11";"0";"26950.00";"37950.00";;;;"20%"
"'8006540773338";"1439951472";"1899549115";"8006540773338";"Электрическая зубная щетка Oral-B Vitality Kids D103.413.2K Frozen голубая для детей + чехол";"'80";"Oral-B";"Продается";"59";"'4.80";"Показывается";;"2025-02-25 09:31:52";"Электронные товары для красоты и здоровья";"'4.08";"'0.8";"0";"0";"0";"3";"3";"0";"5755.00";"9120.00";;;;"20%"
"'4210201420583";"1440155711";"1899694937";"4210201420583";"Электрическая зубная щетка Oral-B iO 4 DUO Matt Black & Quite White, дорожный футляр, 4 режима, с датчиком давления";"'100";"Oral-B";"Продается";"16";"'5.00";"Показывается";;"2025-02-25 10:03:04";"Электронные товары для красоты и здоровья";"'4.54";"'0.9";"0";"0";"0";"1";"1";"0";"23060.00";"32020.00";;;;"20%"
"'8006540757574";"1440272569";"1899794603";"8006540757574";"Электрическая зубная щетка Oral-B Pro 1 790 Clean Black";"'80";"Oral-B";"Готов к продаже";"54";"'4.30";"Показывается";;"2025-02-25 10:45:27";"Электронные товары для красоты и здоровья";"'1.93";"'0.5";"0";"0";"0";"0";"0";"0";"5015.00";"7370.00";;;;"20%"
"'8006540760093";"1440642696";"1900069687";"8006540760093";"Электрическая зубная щетка Oral-B Pro 3 3400N, с визуальным датчиком давления, дорожный футляр, Розовая";"'87.5";"Oral-B";"Продается";"54";"'4.30";"Показывается";;"2025-02-25 13:47:22";"Электронные товары для красоты и здоровья";"'3.83";"'0.8";"6";"0";"0";"7";"7";"0";"9230.00";"12990.00";;;;"20%"
"'4210201193654";"1442625983";"1901611743";"4210201193654";"Детская электрическая зубная щетка Oral-B DB3010 Stages Power Kids Star Wars";"'92.5";"Oral-B";"Продается";"59";"'4.80";"Показывается";;"2025-02-26 07:40:37";"Электронные товары для красоты и здоровья";"'0.55";"'0.1";"11";"0";"0";"263";"0";"0";"1035.00";"0.00";;;;"20%"
"'8700216668620";"1591144229";"2011173934";"8700216668620";"Электрическая зубная щетка Oral-B Vitality Pro + насадка Sensitive Clean";"'100";"Oral-B";"Продается";"1";"'5.00";"Показывается";;"2025-04-08 14:39:02";"Электронные товары для красоты и здоровья";"'1.94";"'0.4";"6";"0";"0";"7";"7";"0";"5360.00";"7650.00";;;;"20%"
"'8700216971713";"1591144242";"2011173975";"8700216971713";"Насадки для электрической зубной щётки Oral-B Pro Cross Action (6 шт) и Pro 3D White (4 шт)";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-08 14:39:03";"Аксессуары для электроники";"'0.66";"'0.1";"6";"0";"0";"103";"103";"0";"6025.00";"8240.00";;;;"20%"
"'8001090919052";"1591144261";"2011174159";"8001090919052";"Электрическая зубная щётка Oral-B Pro Series 1";"'92.5";"Oral-B";"Продается";"31";"'4.80";"Показывается";;"2025-04-08 14:39:03";"Электронные товары для красоты и здоровья";"'1.51";"'0.4";"6";"0";"0";"3";"3";"0";"5445.00";"7660.00";;;;"20%"
"'8700216971683";"1591144346";"2011174017";"8700216971683";"Насадки для электрической зубной щетки Oral-B CrossAction10 шт";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-08 14:39:04";"Аксессуары для электроники";"'0.66";"'0.1";"7";"0";"0";"316";"316";"0";"6020.00";"8840.00";;;;"20%"
"'8700216869010";"1591144840";"2011174598";"8700216869010";"Зубная нить ORAL-B Essential Floss мятная 50м (2 шт.)";"'50";"Oral-B";"Продается";"9";"'5.00";"Показывается";;"2025-04-08 14:39:13";"Личная гигиена";"'0.17";"'0.1";"0";"0";"0";"31";"0";"0";"1005.00";"0.00";;;;"20%"
"'7702018364510-Б0052955";"1596350911";"2015112670";"4673765486608";"Комплект Электрическая зубная щетка Oral-B Pro 3 3500 Розовая + бритва Venus Snap";"'100";"Oral-B";"Продается";"117";"'4.80";"Показывается";;"2025-04-09 13:29:17";"Электронные товары для красоты и здоровья";"'5.25";"'1.1";"6";"0";"0";"3";"3";"0";"9425.00";"14950.00";;;;"20%"
"'7702018364510-Б0059620";"1596387813";"2015140012";"4673765486615";"Комплект Электрическая зубная щетка Oral-B Vitality Pro Лиловая + бритва Venus Snap";"'100";"Oral-B";"Продается";"1";"'5.00";"Показывается";;"2025-04-09 13:41:27";"Электронные товары для красоты и здоровья";"'3.45";"'0.7";"6";"0";"0";"4";"4";"0";"6610.00";"9430.00";;;;"20%"
"'Б0062798";"1626384324";"2034439153";"FBS-ONLY-15-04-2025";"Электрическая зубная щетка Oral-B iO 9 Rose Quartz";"'80";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 09:34:19";"Электронные товары для красоты и здоровья";"'4.54";"'1.0";"4";"0";"0";"0";"0";"0";"33630.00";"60990.00";;;;"20%"
"'Б0052957-8700216971683";"1626712031";"2034641681";"4673765486660";"Комплект Электрическая зубная щетка Oral-B Pro 3 3500 Black+White + Насадки Oral-B CrossAction, 10 шт";"'82.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:13:19";"Электронные товары для красоты и здоровья";"'7.92";"'1.6";"6";"0";"0";"3";"3";"0";"16310.00";"22330.00";;;;"20%"
"'Б0052955-Б0052956-Б0052982";"1626712038";"2035214231";"4673765486639";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая и черная + Насадки Oral-B CrossAction, 4 шт";"'70";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-04-15 10:13:19";"Электронные товары для красоты и здоровья";"'13.75";"'2.8";"0";"0";"0";"0";"0";"0";"16320.00";"25100.00";;;;"20%"
"'80368953-8700216971683";"1626712076";"2034638196";"4673765486622";"Комплект Электрическая зубная щетка Oral-B Vitality Pro Duo Черная и Сиреневая + Насадки Oral-B CrossAction, 10 шт";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:13:20";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"12540.00";"16280.00";;;;"20%"
"'Б0052955-Б0052956-8700216971683";"1626712111";"2035222602";"4673765486653";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая и черная + Насадки Oral-B CrossAction, 10 шт";"'82.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:13:21";"Электронные товары для красоты и здоровья";"'13.75";"'2.8";"6";"0";"0";"4";"4";"0";"18390.00";"27030.00";;;;"20%"
"'Б0052956-8700216971683";"1626924190";"2034780010";"4673765486684";"Комплект Электрическая зубная щетка Oral-B Pro 3 3500, черная + Насадки Oral-B CrossAction, 10 шт";"'82.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:49:52";"Электронные товары для красоты и здоровья";"'8.80";"'1.8";"6";"0";"0";"2";"2";"0";"11740.00";"15640.00";;;;"20%"
"'Б0052955-8700216971683";"1626924221";"2034779742";"4673765486691";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая + Насадки Oral-B CrossAction, 10 шт";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:49:52";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"11680.00";"16440.00";;;;"20%"
"'Б0052955-7702018574223";"1626924231";"2034780205";"4673765486752";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая + Женская бритва для зоны бикини Venus Satin Care";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:49:52";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"9060.00";"11610.00";;;;"20%"
"'Б0052958-Б0052982";"1626924250";"2034783100";"4673765486646";"Комплект Электрическая зубная щетка Oral-B Vitality Kids Cars + Насадки Oral-B, 4 шт";"'70";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-04-15 10:49:52";"Электронные товары для красоты и здоровья";"'1.85";"'0.4";"0";"0";"0";"0";"0";"0";"7275.00";"11360.00";;;;"20%"
"'Б0054724-Б0052982";"1626924302";"2034779334";"4673765486677";"Комплект Электрическая зубная щетка Oral-B GeniusX 20000N Rose Gold + Насадки Oral-B CrossAction, 4 шт";"'45";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-04-15 10:49:52";"Электронные товары для красоты и здоровья";"'3.30";"'0.7";"0";"0";"0";"0";"0";"0";"26830.00";"35760.00";;;;"20%"
"'Б0059618-8700216971683";"1626924308";"2034779282";"4673765486721";"Комплект Электрическая зубная щетка Oral-B Vitality Pro, черный + Насадки Oral-B CrossAction, 10 шт";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:49:52";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"4";"0";"0";"4";"4";"0";"9265.00";"13230.00";;;;"20%"
"'Б0059620-8700216971683";"1626924339";"2034780226";"4673765486707";"Комплект Электрическая зубная щетка Oral-B Vitality Pro, сиреневый + Насадки Oral-B CrossAction, 10 шт";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:49:53";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"9285.00";"11890.00";;;;"20%"
"'Б0059619-8700216971683";"1626924343";"2034779976";"4673765486714";"Комплект Электрическая зубная щетка Oral-B Vitality Pro, белый + Насадки Oral-B CrossAction, 10 шт";"'70";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-04-15 10:49:53";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"0";"0";"0";"0";"0";"0";"9265.00";"12510.00";;;;"20%"
"'Б0052962-Б0052970";"1626924345";"2034779969";"4673765486745";"Комплект Электрическая зубная щетка Oral-B Vitality Kids Spiderman + Насадки Oral-B Kids Spiderman, 2 шт";"'70";"Oral-B";"Готов к продаже";"0";"'0.00";"Показывается";;"2025-04-15 10:49:53";"Электронные товары для красоты и здоровья";"'1.85";"'0.4";"0";"0";"0";"0";"0";"0";"8630.00";"12320.00";;;;"20%"
"'Б0059620-7702018574223";"1626924349";"2034780701";"4673765486769";"Комплект Электрическая зубная щетка Oral-B Vitality Pro, сиреневый + Женская бритва для зоны бикини Venus Satin Care";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:49:53";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"6410.00";"9850.00";;;;"20%"
"'Б0052955-8700216674256";"1626924365";"2034779903";"4673765486776";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая + Женская бритва Venus Comfortglide Miami с держателем";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:49:53";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"9060.00";"12570.00";;;;"20%"
"'Б0059620-8700216674256";"1626924369";"2034779920";"4673765486783";"Комплект Электрическая зубная щетка Oral-B Vitality Pro, сиреневый + Женская бритва Venus Comfortglide Miami с держателем";"'70";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-15 10:49:53";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"6410.00";"9280.00";;;;"20%"
"'SES5625";"1632956584";"2038459142";"4210201426653";"Эпилятор Braun Silk-epil 5 5-625, для сухой и влажной эпиляции, 3 насадки, серый";"'72.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-04-16 10:19:11";"Косметическая техника";"'2.52";"'0.5";"10";"0";"0";"11";"11";"0";"22640.00";"33780.00";;;;"20%"
"'SE7521";"1638258712";"2041657864";"4210201210818";"Эпилятор Braun Silk-epil 7 7-521GS";"'72.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-04-17 08:30:03";"Косметическая техника";"'7.30";"'1.5";"10";"0";"0";"23";"23";"0";"18250.00";"24650.00";;;;"20%"
"'2081362";"1638384304";"2041756939";"4210201197300";"Эпилятор Braun Silk-epil 3 SE 3-274 с системой SmartLight";"'92.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-04-17 08:45:15";"Косметическая техника";"'1.01";"'0.5";"10";"0";"0";"24";"24";"0";"12490.00";"18360.00";;;;"20%"
"'SK3400";"1638924881";"2042074131";"4210201447634";"Триммер универсальный для бороды и усов Braun SK3400";"'67.5";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-04-17 09:24:08";"Электронные товары для красоты и здоровья";"'1.56";"'0.3";"10";"0";"0";"5";"5";"0";"6800.00";"10450.00";;;;"20%"
"'BT9420";"1639029968";"2042065321";"4210201448495";"Триммер для бороды и усов Braun BT9420";"'100";"Braun";"Готов к продаже";"1";"'5.00";"Показывается";;"2025-04-17 09:34:33";"Электронные товары для красоты и здоровья";"'3.33";"'0.7";"0";"0";"0";"0";"0";"0";"18370.00";"27000.00";;;;"20%"
"'MGK7421";"1639165895";"2042135607";"4210201447313";"Триммер электрический Braun MGK7421 + Бритвенный станок Fusion ProGlide";"'80";"Braun";"Продается";"1";"'5.00";"Показывается";;"2025-04-17 09:48:17";"Электронные товары для красоты и здоровья";"'2.50";"'0.6";"7";"0";"0";"0";"0";"0";"15210.00";"20270.00";;;;"20%"
"'XT5110";"1639359021";"2042255713";"7500435233859";"Триммер электрический для бороды и усов Braun OneTool XT5110";"'100";"Braun";"Продается";"2";"'5.00";"Показывается";;"2025-04-17 10:09:18";"Электронные товары для красоты и здоровья";"'1.64";"'0.3";"8";"0";"0";"19";"19";"0";"6460.00";"9220.00";;;;"20%"
"'03-BR";"1639396504";"2042280499";"4210201264330";"Насадка-щеточка для очищения лица EasyClick для электробритв Braun Series 5, 6, 7 (81727356), черный";"'30";"Braun";"Продается";"4";"'4.50";"Показывается";;"2025-04-17 10:13:58";"Аксессуары для электроники";"'0.46";"'0.1";"10";"0";"0";"42";"42";"0";"4060.00";"5790.00";;;;"20%"
"'IPL1000";"1640472228";"2042914142";"4210201439172";"Фотоэпилятор Braun Silk-expert Mini PL1000";"'85";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-04-17 13:50:21";"Косметическая техника";"'4.32";"'0.9";"10";"0";"0";"22";"22";"0";"34720.00";"51050.00";;;;"20%"
"'PL5145";"1640472239";"2042914878";"4210201412830";"Фотоэпилятор Braun Silk-expert Pro 5 PL5145";"'85";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-04-17 13:50:21";"Косметическая техника";"'5.60";"'1.5";"6";"0";"0";"0";"0";"0";"83600.00";"108560.00";;;;"20%"
"'IPL1124";"1640472245";"2042913840";"4210201439141";"Фотоэпилятор Braun Silk-expert Mini PL1124";"'85";"Braun";"Продается";"0";"'0.00";"Показывается";;"2025-04-17 13:50:22";"Косметическая техника";"'4.32";"'1.1";"9";"0";"0";"21";"21";"0";"41750.00";"61390.00";;;;"20%"
"'8700216518031-8700216971683";"1674200866";"2066934347";"4673765486912";"Электрическая зубная щетка Oral-B Vitality Pro D103.413.3 Cross Action Protect X голубая + насадки CrossAction 10 шт";"'100";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 08:33:50";"Электронные товары для красоты и здоровья";"'2.48";"'0.5";"0";"0";"0";"3";"3";"0";"9265.00";"14030.00";;;;"20%"
"'8001090916419-EB_4";"1674377127";"2066983984";"4673765486868";"Электрическая зубная щётка Oral-B Pro Series 1 + насадки Cross Action, 4 шт";"'82.5";"Oral-B";"Продается";"31";"'4.80";"Показывается";;"2025-04-24 08:52:43";"Электронные товары для красоты и здоровья";"'5.00";"'1.0";"6";"0";"0";"3";"3";"0";"7120.00";"10780.00";;;;"20%"
"'Б0052955-EB_2";"1674415475";"2067012155";"4673765486851";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая + Насадки Oral-B CrossAction, 2 шт";"'82.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 08:56:53";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"4";"4";"0";"7460.00";"9690.00";;;;"20%"
"'Б0052955-EB_4";"1674444433";"2067150006";"4673765486844";"Комплект Электрическая зубная щетка Oral-B Pro 3, розовая + Насадки Oral-B CrossAction, 4 шт";"'82.5";"Oral-B";"Продается";"0";"'0.00";"Показывается";;"2025-04-24 09:00:08";"Электронные товары для красоты и здоровья";"'4.95";"'1.0";"6";"0";"0";"3";"3";"0";"8705.00";"11300.00";;;;"20%"
